OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed;Mix;Color
Euthanasia;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Rottweiler Mix;TRUE;Black/Brown
Return_to_owner;Dog;Intact Male;Male;Intact;1;year;year;1;Jack Russell Terrier Mix;TRUE;White/Brown
Adoption;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Longhair Mix;TRUE;Brown Tabby/White
Transfer;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Boxer;FALSE;Red/Black
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Border Terrier Mix;TRUE;White/Brown
Transfer;Cat;Intact Male;Male;Intact;3;years;year;3;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Euthanasia;Dog;Neutered Male;Male;Non-intact;5;years;year;5;German Shepherd Mix;TRUE;Brown/Black
Adoption;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Chihuahua Shorthair;FALSE;Tan
Transfer;Cat;Intact Male;Male;Intact;2;days;day;0.005475702;Domestic Shorthair;FALSE;Gray Tabby
Euthanasia;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Chihuahua Longhair Mix;TRUE;Brown
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Irish Terrier/Labrador Retriever;FALSE;Brown/White
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Pit Bull Mix;TRUE;White/Tan
Return_to_owner;Dog;Spayed Female;Female;Non-intact;9;years;year;9;German Shepherd Mix;TRUE;Red/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Queensland Heeler Mix;TRUE;Brown
Euthanasia;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Pit Bull Mix;TRUE;Tan/Brown Brindle
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pointer Mix;TRUE;White/Black
Adoption;Cat;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Miniature Pinscher;FALSE;Blue/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Labrador Retriever Mix;TRUE;Sable
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Intact Male;Male;Intact;2;years;year;2;Shih Tzu;FALSE;White/Brown Brindle
Adoption;Dog;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Australian Shepherd Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Catahoula/Chinese Sharpei;FALSE;White/Brown
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Whippet/Jack Russell Terrier;FALSE;White/Brown
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;months;month;0.75;Labrador Retriever/Australian Kelpie;FALSE;Tan
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Torbie
Transfer;Dog;Intact Male;Male;Intact;5;years;year;5;Pekingese;FALSE;Red/White
Euthanasia;Cat;Neutered Male;Male;Non-intact;15;years;year;15;Domestic Medium Hair Mix;TRUE;Blue
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Catahoula Mix;TRUE;Blue Merle/White
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Medium Hair Mix;TRUE;Torbie
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Jack Russell Terrier;FALSE;White/Brown
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Longhair Mix;TRUE;Black Smoke
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Bullmastiff Mix;TRUE;Black/White
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Labrador Retriever Mix;TRUE;Black
Adoption;Cat;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;German Shepherd/Cardigan Welsh Corgi;FALSE;Sable
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Male;Male;Intact;8;months;month;0.666666667;Domestic Shorthair Mix;TRUE;Black
Died;Dog;Intact Female;Female;Intact;3;months;month;0.25;Pit Bull/Pit Bull;FALSE;Red
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd;FALSE;Brown/Red
Transfer;Cat;Intact Female;Female;Intact;4;days;day;0.010951403;Domestic Medium Hair Mix;TRUE;Tortie
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;10;years;year;10;Jack Russell Terrier Mix;TRUE;White/Brown
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Transfer;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Labrador Retriever Mix;TRUE;Black
Adoption;Cat;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;German Shepherd Mix;TRUE;Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Dachshund Mix;TRUE;Red
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Dachshund Mix;TRUE;Blue Merle
Return_to_owner;Dog;Neutered Male;Male;Non-intact;17;years;year;17;Boston Terrier;FALSE;Black/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Boxer/American Staffordshire Terrier;FALSE;Brown Brindle/White
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd Mix;TRUE;Black/Tan
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Pug;FALSE;Black
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;German Shepherd Mix;TRUE;Black/Tan
Return_to_owner;Dog;Intact Female;Female;Intact;7;years;year;7;Pit Bull Mix;TRUE;Black/White
Transfer;Cat;Intact Female;Female;Intact;11;months;month;0.916666667;Domestic Shorthair Mix;TRUE;Calico
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Siamese Mix;TRUE;Lynx Point
Euthanasia;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Pit Bull Mix;TRUE;Brown Brindle/White
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Medium Hair Mix;TRUE;Brown Tabby
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Rottweiler Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Javanese Mix;TRUE;Flame Point
Transfer;Dog;Intact Male;Male;Intact;6;months;month;0.5;Border Collie Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Lhasa Apso/Miniature Poodle;FALSE;Black
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Calico
Transfer;Cat;Neutered Male;Male;Non-intact;5;years;year;5;Domestic Shorthair Mix;TRUE;Black
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Snowshoe Mix;TRUE;Seal Point
Adoption;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Domestic Shorthair Mix;TRUE;Black/White
Euthanasia;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Cocker Spaniel/Labrador Retriever;FALSE;Brown/White
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Cocker Spaniel Mix;TRUE;Red
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Carolina Dog Mix;TRUE;Tan
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Chihuahua Shorthair/Dachshund;FALSE;Red/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Blue Tabby
Transfer;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Domestic Medium Hair Mix;TRUE;Black/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Parson Russell Terrier;FALSE;White/Brown
Adoption;Cat;Neutered Male;Male;Non-intact;8;years;year;8;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Cat;Intact Female;Female;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Black
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever/Great Pyrenees;FALSE;Yellow
Euthanasia;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Pit Bull Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;Pit Bull Mix;TRUE;Blue/White
Transfer;Cat;Intact Female;Female;Intact;10;months;month;0.833333333;Ragdoll Mix;TRUE;Lynx Point
Adoption;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Australian Shepherd Mix;TRUE;Tricolor
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Adoption;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Wire Hair Fox Terrier Mix;TRUE;White/Tan
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Dog;Spayed Female;Female;Non-intact;9;months;month;0.75;Treeing Tennesse Brindle;FALSE;Brown Brindle/White
Transfer;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Rat Terrier Mix;TRUE;White/Black
Transfer;Cat;Intact Female;Female;Intact;1;weeks;week;0.019230769;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever Mix;TRUE;Black/White
Return_to_owner;Dog;Intact Female;Female;Intact;10;years;year;10;Australian Cattle Dog Mix;TRUE;Brown
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Rat Terrier Mix;TRUE;White/Tan
Euthanasia;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Transfer;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Dachshund;FALSE;Red
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Catahoula Mix;TRUE;Blue Merle/Brown
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;English Bulldog;FALSE;White/Brown Brindle
Return_to_owner;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Siamese Mix;TRUE;Flame Point
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Calico
Transfer;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Boxer Mix;TRUE;Brown Brindle/White
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Whippet Mix;TRUE;White/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;4;months;month;0.333333333;American Bulldog Mix;TRUE;Brown/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Rat Terrier Mix;TRUE;Tricolor
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Chihuahua Shorthair Mix;TRUE;Chocolate/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Golden Retriever Mix;TRUE;Gold
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Longhair Mix;TRUE;Torbie
Return_to_owner;Dog;Intact Male;Male;Intact;4;years;year;4;Pit Bull Mix;TRUE;White/Chocolate
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Tricolor
Euthanasia;Dog;Intact Female;Female;Intact;9;years;year;9;Shetland Sheepdog Mix;TRUE;Brown
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund Wirehair/Miniature Schnauzer;FALSE;Black/Silver
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Brown
Transfer;Cat;Spayed Female;Female;Non-intact;7;years;year;7;Domestic Shorthair Mix;TRUE;Calico/Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Australian Cattle Dog Mix;TRUE;Red Tick
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Labrador Retriever/Boxer;FALSE;Black/White
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Chihuahua Shorthair Mix;TRUE;Tan
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Cardigan Welsh Corgi Mix;TRUE;Red/White
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;Border Collie/Labrador Retriever;FALSE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Miniature Pinscher/Chihuahua Shorthair;FALSE;Tan/Brown
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Dachshund Mix;TRUE;Black/Tan
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Dachshund Longhair;FALSE;Black/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Vizsla/Golden Retriever;FALSE;Red/Black
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Anatol Shepherd Mix;TRUE;Tan/Black
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Labrador Retriever Mix;TRUE;Chocolate
Transfer;Dog;Intact Male;Male;Intact;3;years;year;3;Pug;FALSE;Fawn
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Blue
Transfer;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Pomeranian;FALSE;Red/Tan
Euthanasia;Dog;Intact Male;Male;Intact;3;months;month;0.25;Redbone Hound Mix;TRUE;Tan/White
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Calico
Transfer;Cat;Spayed Female;Female;Non-intact;8;years;year;8;Domestic Shorthair Mix;TRUE;Black/White
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Medium Hair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Chihuahua Shorthair Mix;TRUE;Tan
Adoption;Dog;Intact Male;Male;Intact;5;years;year;5;Labrador Retriever Mix;TRUE;Gold
Transfer;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair Mix;TRUE;Cream Tabby
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Medium Hair Mix;TRUE;Blue Tabby
Euthanasia;Cat;Neutered Male;Male;Non-intact;8;years;year;8;Japanese Bobtail Mix;TRUE;White/Blue
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Black
Adoption;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair Mix;TRUE;Blue/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Rottweiler Mix;TRUE;Black/Tan
Return_to_owner;Dog;Intact Male;Male;Intact;7;years;year;7;American Bulldog Mix;TRUE;White/Tan
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Golden Retriever;FALSE;Yellow
Transfer;Cat;Intact Male;Male;Intact;2;days;day;0.005475702;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;9;years;year;9;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Beagle Mix;TRUE;Tricolor
Transfer;Cat;Unknown;Unknown;Unknown;0;years;year;0;Domestic Shorthair Mix;TRUE;Black
Adoption;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dachshund/Chihuahua Shorthair;FALSE;Red
Return_to_owner;Dog;Intact Female;Female;Intact;1;year;year;1;Pit Bull Mix;TRUE;White/Black
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Australian Cattle Dog Mix;TRUE;Brown/White
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Labrador Retriever Mix;TRUE;Chocolate
Return_to_owner;Dog;Intact Male;Male;Intact;4;years;year;4;Pit Bull Mix;TRUE;White/Black
Euthanasia;Cat;Intact Female;Female;Intact;5;weeks;week;0.096153846;Domestic Medium Hair Mix;TRUE;Brown Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Yorkshire Terrier/Chihuahua Longhair;FALSE;White/Tan
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Australian Cattle Dog/Catahoula;FALSE;Blue Merle
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Chihuahua Shorthair Mix;TRUE;White/Brown
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Chihuahua Shorthair/Dachshund;FALSE;Brown Brindle/White
Died;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;Black
Euthanasia;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Medium Hair Mix;TRUE;Blue Tabby/White
Transfer;Dog;Intact Male;Male;Intact;2;days;day;0.005475702;German Shepherd Mix;TRUE;Black/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Miniature Poodle Mix;TRUE;Tan
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chow Chow/Labrador Retriever;FALSE;Brown
Adoption;Cat;Spayed Female;Female;Non-intact;9;years;year;9;Domestic Shorthair Mix;TRUE;Black/White
Return_to_owner;Dog;Intact Male;Male;Intact;11;months;month;0.916666667;Staffordshire Mix;TRUE;Blue/White
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Labrador Retriever;FALSE;Black/White
Euthanasia;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Calico/White
Euthanasia;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull Mix;TRUE;White/Brown Brindle
Euthanasia;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair Mix;TRUE;Blue/White
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Cocker Spaniel Mix;TRUE;Brown
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever Mix;TRUE;Brown
Return_to_owner;Dog;Intact Male;Male;Intact;1;year;year;1;American Bulldog Mix;TRUE;White/Brown
Transfer;Cat;Neutered Male;Male;Non-intact;6;years;year;6;Domestic Medium Hair Mix;TRUE;Black/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd;FALSE;Tan/Black
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Labrador Retriever Mix;TRUE;Black/White
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Blue Tabby
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Blue
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Pit Bull Mix;TRUE;Brown/White
Return_to_owner;Dog;Intact Male;Male;Intact;4;years;year;4;Boxer Mix;TRUE;Brown Brindle
Transfer;Dog;Intact Female;Female;Intact;5;months;month;0.416666667;Chihuahua Shorthair Mix;TRUE;Tan
Transfer;Dog;Intact Female;Female;Intact;3;weeks;week;0.057692308;Labrador Retriever Mix;TRUE;Black/White
Transfer;Dog;Spayed Female;Female;Non-intact;3;years;year;3;German Shepherd Mix;TRUE;Brown/Black
Transfer;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Jack Russell Terrier Mix;TRUE;White
Adoption;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Orange Tabby
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair Mix;TRUE;Brown Tabby/White
Euthanasia;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair Mix;TRUE;White/Gray
Adoption;Dog;Spayed Female;Female;Non-intact;10;years;year;10;Boxer/English Bulldog;FALSE;Brown Brindle/White
Transfer;Dog;Intact Female;Female;Intact;2;years;year;2;Tibetan Spaniel Mix;TRUE;Red
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Tan/White
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Black/White
Euthanasia;Cat;Intact Female;Female;Intact;8;years;year;8;Domestic Longhair Mix;TRUE;Tortie
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Chihuahua Shorthair Mix;TRUE;Yellow Brindle
Adoption;Cat;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Intact Female;Female;Intact;2;years;year;2;Australian Shepherd Mix;TRUE;Brown Merle
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Longhair Mix;TRUE;Orange Tabby
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Chihuahua Shorthair Mix;TRUE;Sable/Black
Transfer;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Labrador Retriever/Chow Chow;FALSE;Black
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Orange Tabby
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Medium Hair Mix;TRUE;Calico
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Medium Hair Mix;TRUE;Gray Tabby
Adoption;Dog;Intact Male;Male;Intact;2;years;year;2;Standard Poodle;FALSE;Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Border Collie;FALSE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Labrador Retriever Mix;TRUE;Black/White
Transfer;Dog;Intact Female;Female;Intact;3;weeks;week;0.057692308;Labrador Retriever Mix;TRUE;White
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Return_to_owner;Dog;Intact Female;Female;Intact;8;years;year;8;Rottweiler Mix;TRUE;Black/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair Mix;TRUE;White/Black
Return_to_owner;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Blue
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Black
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair;FALSE;Brown Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd Mix;TRUE;Black/Tan
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Tortie
Transfer;Cat;Neutered Male;Male;Non-intact;5;years;year;5;Domestic Medium Hair Mix;TRUE;Blue Tabby/White
Adoption;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Cream Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;12;years;year;12;Toy Poodle Mix;TRUE;White/Black
Transfer;Cat;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Domestic Medium Hair Mix;TRUE;Black/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Brown/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair Mix;TRUE;Black/White
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Orange Tabby
Return_to_owner;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Pit Bull Mix;TRUE;White/Brown Brindle
