OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd ;;TRUE;Brown;;Black;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;7;months;month;0.583333333;Domestic Longhair ;;TRUE;Tortie;;;
Euthanasia;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Australian Shepherd ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Rat Terrier ;;TRUE;Tricolor;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;8;years;year;8;American Bulldog ;;TRUE;White;;Brown;Brindle
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Pit Bull ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;Labrador Retriever ;;TRUE;Brown;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Siberian Husky ;;TRUE;Brown;;Black;
Died;Cat;Intact Male;Male;Intact;5;weeks;week;0.096153846;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;American Staffordshire Terrier ;;TRUE;Fawn;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Sable;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Dachshund ;;TRUE;Red;;;
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Pit Bull ;;TRUE;Black;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;White;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Catahoula ;;TRUE;White;;Tan;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;1;week;week;0.019230769;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Siamese ;;TRUE;Flame Point;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;White;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;6;years;year;6;Siamese ;;TRUE;Tortie;Point;;
Return_to_owner;Dog;Intact Male;Male;Intact;10;months;month;0.833333333;Golden Retriever;Standard Poodle;FALSE;Gold;;;
Adoption;Cat;Neutered Male;Male;Non-intact;9;months;month;0.75;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Brown;;Black;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Yellow;;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;Chihuahua Shorthair;Beagle;FALSE;Black;;Tan;
Transfer;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Chihuahua Shorthair ;;TRUE;Blue;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Chihuahua Shorthair ;;TRUE;Tricolor;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Flat Coat Retriever ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Toy Poodle ;;TRUE;Black;;;
Adoption;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Longhair ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;White;;Chocolate;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Rhod Ridgeback ;;TRUE;Brown;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;10;years;year;10;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Great Pyrenees ;;TRUE;White;;;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Tortie;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Brown;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Chihuahua Shorthair ;;TRUE;White;;;
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Rottweiler;German Shepherd;FALSE;Black;;Tan;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Tortie;;;
Transfer;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Australian Cattle Dog;Catahoula;FALSE;White;;Blue;Merle
Return_to_owner;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Cardigan Welsh Corgi ;;TRUE;Brown;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Brown;;Black;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Pit Bull;;FALSE;Tan;;White;
Transfer;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Pit Bull ;;TRUE;Brown;Brindle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Labrador Retriever;German Shepherd;FALSE;Buff;;White;
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Miniature Pinscher ;;TRUE;Black;;Tan;
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Miniature Pinscher ;;TRUE;Brown;;;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Dachshund ;;TRUE;Black;;;
Euthanasia;Dog;Intact Female;Female;Intact;3;years;year;3;Pit Bull ;;TRUE;Brown;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Tonkinese ;;TRUE;Chocolate;Point;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Miniature Poodle ;;TRUE;Gray;;Cream;
Return_to_owner;Dog;Intact Male;Male;Intact;11;months;month;0.916666667;Doberman Pinsch ;;TRUE;Red;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Soft Coated Wheaten Terrier ;;TRUE;Tan;;Black;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Longhair ;;TRUE;Brown;Tabby;White;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Siamese ;;TRUE;Lynx Point;;White;
Transfer;Cat;Unknown;Unknown;Unknown;6;months;month;0.5;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Labrador Retriever ;;TRUE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;8;years;year;8;Miniature Poodle ;;TRUE;White;;;
Transfer;Cat;Spayed Female;Female;Non-intact;6;months;month;0.5;Domestic Medium Hair ;;TRUE;Cream;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Australian Cattle Dog ;;TRUE;White;;Brown;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Siberian Husky ;;TRUE;Black;;Brown;
Transfer;Cat;Intact Female;Female;Intact;4;months;month;0.333333333;Snowshoe ;;TRUE;Chocolate;Point;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Labrador Retriever;Boston Terrier;FALSE;White;;Black;
Transfer;Cat;Intact Male;Male;Intact;2;days;day;0.005475702;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Chocolate;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;4;months;month;0.333333333;American Bulldog ;;TRUE;Brown;Brindle;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Euthanasia;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Staffordshire ;;TRUE;Fawn;;;
Euthanasia;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Tan;;Blue;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dachshund ;;TRUE;Red;;Red;Merle
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Cardigan Welsh Corgi;Chihuahua Shorthair;FALSE;Sable;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Toy Fox Terrier ;;TRUE;Tricolor;;;
Transfer;Cat;Unknown;Unknown;Unknown;3;days;day;0.008213552;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Euthanasia;Cat;Neutered Male;Male;Non-intact;8;years;year;8;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Welsh Springer Spaniel;;FALSE;White;;Chocolate;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;Brown;Tabby
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Tortie;;Brown;
Transfer;Cat;Neutered Male;Male;Non-intact;6;years;year;6;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;1;day;day;0.002737851;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Neutered Male;Male;Non-intact;10;years;year;10;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Chihuahua Shorthair;Rat Terrier;FALSE;Tan;;;
Adoption;Cat;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;White;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Labrador Retriever;Boxer;FALSE;Black;;White;
Transfer;Dog;Intact Male;Male;Intact;6;months;month;0.5;Entlebucher ;;TRUE;Black;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Rat Terrier ;;TRUE;Tricolor;;;
Transfer;Dog;Spayed Female;Female;Non-intact;12;years;year;12;Miniature Poodle ;;TRUE;Gray;;;
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Dog;Intact Female;Female;Intact;6;months;month;0.5;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Return_to_owner;Dog;Intact Male;Male;Intact;2;years;year;2;West Highland ;;TRUE;White;;;
Transfer;Cat;Unknown;Unknown;Unknown;3;days;day;0.008213552;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Collie Smooth ;;TRUE;Blue;Merle;Tan;
Transfer;Dog;Spayed Female;Female;Non-intact;13;years;year;13;Border Collie ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Miniature Poodle ;;TRUE;White;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Labrador Retriever;Beagle;FALSE;Brown;;;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair;;FALSE;Tricolor;;;
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Gray;;Black;
Euthanasia;Cat;Intact Female;Female;Intact;5;years;year;5;Himalayan ;;TRUE;Tortie;Point;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Longhair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Toy Poodle ;;TRUE;Apricot;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Australian Cattle Dog ;;TRUE;Blue;Tick;;
Return_to_owner;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Return_to_owner;Dog;Intact Female;Female;Intact;4;years;year;4;Cavalier Span ;;TRUE;Black;;Tan;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;German Shepherd;Labrador Retriever;FALSE;Brown;;Black;
Euthanasia;Cat;Neutered Male;Male;Non-intact;5;years;year;5;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Chihuahua Longhair ;;TRUE;Brown;;Tricolor;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Longhair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;7;months;month;0.583333333;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Tan;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;13;years;year;13;Chow Chow ;;TRUE;Fawn;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Pit Bull ;;TRUE;Fawn;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Chihuahua Shorthair;Cairn Terrier;FALSE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund;Australian Cattle Dog;FALSE;White;;Brown;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Dachshund ;;TRUE;Black;;Tan;
Transfer;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Rat Terrier ;;TRUE;Tricolor;;;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Labrador Retriever;Pointer;FALSE;Chocolate;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;Chinese Sharpei;FALSE;Black;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;5;years;year;5;Pit Bull ;;TRUE;Tan;;White;
Transfer;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Flat Coat Retriever;Pit Bull;FALSE;Buff;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Australian Cattle Dog ;;TRUE;Blue;Merle;Tan;
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Black Mouth Cur ;;TRUE;Brown;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Pit Bull ;;TRUE;Blue;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;German Shepherd ;;TRUE;Black;;Tan;
Return_to_owner;Dog;Intact Male;Male;Intact;1;year;year;1;Yorkshire Terrier ;;TRUE;Black;;Tan;
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Siberian Husky ;;TRUE;Sable;;Cream;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;White;;Blue;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd;Black/Tan Hound;FALSE;Black;;Tan;
Transfer;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Pit Bull ;;TRUE;White;;Brown;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;White;;Tan;
Transfer;Cat;Intact Male;Male;Intact;3;years;year;3;Bengal ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Intact Female;Female;Intact;2;years;year;2;Shih Tzu ;;TRUE;White;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Plott Hound ;;TRUE;Yellow;Brindle;White;
Return_to_owner;Dog;Intact Male;Male;Intact;3;years;year;3;Australian Cattle Dog ;;TRUE;Tricolor;;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;Miniature Pinscher;Chihuahua Shorthair;FALSE;Tricolor;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Australian Cattle Dog ;;TRUE;Sable;;;
Transfer;Cat;Intact Female;Female;Intact;1;day;day;0.002737851;Domestic Shorthair ;;TRUE;Torbie;;;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Miniature Schnauzer ;;TRUE;Black;;Brown;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Dachshund ;;TRUE;Red;;Brown;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Beagle ;;TRUE;Tan;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;German Shepherd ;;TRUE;Brown;Brindle;;
Transfer;Cat;Unknown;Unknown;Unknown;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Chihuahua Shorthair ;;TRUE;Brown;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Australian Cattle Dog ;;TRUE;Tricolor;;;
Adoption;Cat;Neutered Male;Male;Non-intact;8;months;month;0.666666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;German Shepherd;;FALSE;Black;;Brown;
Transfer;Cat;Spayed Female;Female;Non-intact;13;years;year;13;Domestic Longhair ;;TRUE;Black;;;
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;White;;;
Adoption;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Harrier ;;TRUE;Tricolor;;;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Catahoula ;;TRUE;Blue;Merle;Tan;
Transfer;Dog;Neutered Male;Male;Non-intact;7;months;month;0.583333333;Standard Poodle;;FALSE;Apricot;;;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Torbie;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Boxer ;;TRUE;Brown;;White;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Australian Cattle Dog ;;TRUE;Red;Merle;;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Rottweiler ;;TRUE;Black;;White;
Euthanasia;Dog;Intact Female;Female;Intact;10;years;year;10;Boxer ;;TRUE;Fawn;;;
Adoption;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;2;years;year;2;Shih Tzu ;;TRUE;White;;Brown;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Golden Retriever;Chow Chow;FALSE;Red;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dalmatian ;;TRUE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Lhasa Apso;West Highland;FALSE;Tricolor;;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Pointer;American Pit Bull Terrier;FALSE;White;;;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Beagle;Cocker Spaniel;FALSE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Unknown;Unknown;Unknown;3;days;day;0.008213552;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Euthanasia;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Tan;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Maine Coon ;;TRUE;Brown;Tabby;;
Euthanasia;Cat;Neutered Male;Male;Non-intact;5;years;year;5;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Anatol Shepherd ;;TRUE;Silver;;Black;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Border Collie ;;TRUE;Tricolor;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Beagle;Black Mouth Cur;FALSE;Brown;;Black;
Transfer;Cat;Intact Female;Female;Intact;9;months;month;0.75;Domestic Medium Hair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Tan;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Longhair ;;TRUE;Black;;Tan;
Transfer;Cat;Intact Male;Male;Intact;2;days;day;0.005475702;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;4;days;day;0.010951403;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;6;months;month;0.5;Carolina Dog ;;TRUE;Tan;;White;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;3;years;year;3;Domestic Longhair ;;TRUE;Blue;;;
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Labrador Retriever;Plott Hound;FALSE;Black;Brindle;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Carolina Dog ;;TRUE;Red;;;
